filename,text,up_votes,down_votes,age,gender,accent,duration
cv-other-dev/sample-000012.mp3,it was there that the wise man lived,0,0,twenties,male,indian,
cv-other-dev/sample-000013.mp3,our influence on their monopoly is tiny,0,0,twenties,male,indian,
cv-other-dev/sample-000015.mp3,holy moly you were fast on the zip line,0,0,twenties,male,indian,
cv-other-dev/sample-000046.mp3,i like cyndi wayne,0,0,fifties,female,indian,
cv-other-dev/sample-000052.mp3,remember the night we broke the windows in this old house,0,0,fifties,male,indian,
cv-other-dev/sample-000061.mp3,after all the spinning had stopped megan felt better,0,0,twenties,male,indian,
cv-other-dev/sample-000184.mp3,picture's in the paper,0,0,twenties,female,indian,
cv-other-dev/sample-000225.mp3,can i see william comes to town at kb theatres,0,0,twenties,male,indian,
cv-other-dev/sample-000253.mp3,we'll stay right here and celebrate,0,0,fifties,female,indian,
cv-other-dev/sample-000261.mp3,how can you tell,0,0,fifties,female,indian,
cv-other-dev/sample-000282.mp3,he remembered the sword,0,0,twenties,male,indian,
cv-other-dev/sample-000326.mp3,i think it's marvelous,0,0,fifties,female,indian,
cv-other-dev/sample-000351.mp3,she looks so gorgeous today,0,0,fifties,female,indian,
cv-other-dev/sample-000383.mp3,it's a good face,0,0,teens,male,indian,
cv-other-dev/sample-000453.mp3,machine gun fire awoke the fugitives and sent them into a frenzy,0,0,twenties,male,indian,
cv-other-dev/sample-000456.mp3,how long will it take to get him examined,0,0,twenties,male,indian,
cv-other-dev/sample-000469.mp3,when will we grow out of fidget spinners,0,0,fifties,female,indian,
cv-other-dev/sample-000529.mp3,you're playing with dynamite,0,0,twenties,male,indian,
cv-other-dev/sample-000567.mp3,she improved her list every day,0,0,fourties,male,indian,
cv-other-dev/sample-000612.mp3,since you'll be using these a lot make them as terse as possible,0,0,twenties,female,indian,
cv-other-dev/sample-000614.mp3,there is no wine in this country the young man said,0,0,thirties,male,indian,
cv-other-dev/sample-000615.mp3,an huge hole had been made by the impact of the projectile,0,0,thirties,male,indian,
cv-other-dev/sample-000616.mp3,earlier this year we found a really nice place near my office and we moved in together,0,0,twenties,male,indian,
cv-other-dev/sample-000618.mp3,just drop a module into your macrosystem directory turn your microphone off and on and it will attempt to load it,0,0,fifties,female,indian,
cv-other-dev/sample-000619.mp3,and he gave you that five dollar raise,0,0,twenties,male,indian,
cv-other-dev/sample-000622.mp3,you can't do that to me,0,0,fifties,female,indian,
cv-other-dev/sample-000660.mp3,we don't have to give up our club,0,0,fifties,female,indian,
cv-other-dev/sample-000662.mp3,the wind screamed with delight and blew harder than ever,1,1,thirties,male,indian,
cv-other-dev/sample-000730.mp3,then she again took his hands and studied them carefully,1,1,twenties,male,indian,
cv-other-dev/sample-000793.mp3,you could run an interview that would prove it,0,0,teens,female,indian,
cv-other-dev/sample-000801.mp3,i'll do anything you say,0,0,twenties,female,indian,
cv-other-dev/sample-000808.mp3,why should i be in any danger,0,0,fifties,female,indian,
cv-other-dev/sample-000809.mp3,tux is not smiling he just looks nice all the time,0,0,fifties,female,indian,
